S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,Founder1 Name,Founder2 Name,Founder3 Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
1185,VI,HealthifyMe,2012,HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.,Healthcare,Healthcare,Health-Tech,,B2C,Fitness,Mobile app,,Bengaluru,Karnataka,VC Funded,Fitness & Wellness,,,,,,,,,,,,,,,,,,42156,,Venture capital,6.4,,,,42705,1,Venture Capital,38.5,,,,,,,,,,,,,,,,,,,,
1186,VI,Hello Curry,2013,The startup aims to get Authentic Indian Food right at your door step.,Consumer_goods,Food and beverage,Hyperlocal and Logistics,,B2C,Food delivery,,,Hyderabad,Telegana,VC Funded,Food Services,,,,,,,,,,,,,,,,,,41699,,Venture capital,3,,,,42430,,Venture Capital,9.64,,,,,,,,,,,,,,,,,,,,
1187,VI,Hello Tax,2015,Hello Tax is an app that helps users fill income tax returns easily.,Financials,Financial services,Fin-Tech and Payments,,B2C,Income tax filing,,,New Delhi,Delhi,Angel investment,Investment advisory and consultancy and financial consumer services,,,,,,,,,,,,,,,,,,42552,1,Angel investors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,VI,HelloDhobi,2015,"HelloDhobi is an on-demand door-to-door laundry, ironing and dry cleaning service.",Consumer_services,Retail,Hyperlocal and Logistics,,B2C,Clothes maintenance,Laundry service,,Pune,Maharashtra,Angel investment,Laundry,,,,,,,,,,,,,,,,,,42583,1,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,VI,Hippily,,Hippily is a fashion discovery and shopping platform.,Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Online shopping,Fashion,,Mumbai,Maharashtra,Angel investment,Fashion,,,,,,,,,,,,,,,,,,42461,2,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,VI,HitWicket,2010,Hitwicket.com is a unique online cricket strategy game.,Consumer_services,Media,"Media, Advertising and Gaming",,B2C,Gaming,,,Hyderabad,Telegana,Angel investment,Games and Gaming enablers,,,,,,,,,,,,,,,,,,42309,,Angel forums,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,VI,Hokey Pokey,2007,It is an icecream shop,Consumer_goods,Food and beverage,Consumer Products and Services,,B2C,Ice cream shop,,,Mumbai,Maharashtra,Angel investment,Food Products,,,,,,,,,,,,,,,,,,42552,4,Angel investors,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,VI,Horntell,2015,"Horntell allows websites and apps to create actionable cards of their service, to which their users can subscribe to using their app.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Mobile application,,,Gurgaon,Haryana,Angel investment,DevOps,,,,,,,,,,,,,,,,,,42461,5,Angel investors,0.964,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,VI,HotelsAroundYou,2013,HotelsAroundYou is dedicated to making hotel booking simple. We provide easy booking of same-day unsold hotel rooms.,Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Online hotel booking,,,,,VC Funded,Fashion,,,,,,,,,,,,,,,,,,41913,,Venture capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,VI,Houssup,2016,Houssup is a interior design and home furnishing portal.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2C,Interior design services,,,Jaipur,Rajasthan,Angel investment,Building Materials & Fixtures,,,,,,,,,,,,,,,,,,42461,2,Angel investors,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,VI,Hubilo,2015,Hubilo provides an end-to-end online solution for event organizers.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Software solutions for event organising,,,Ahmedabad,Gujarat,Angel investment,Software services for consumers,,,,,,,,,,,,,,,,,,42675,2,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,VI,i2e1,2015,i2e1 offers technology solutions that focus on providing secure internet services.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Innovation,,,,,Angel investment,Enterprise Security,,,,,,,,,,,,,,,,,,42339,,Angel forums,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,VI,iAugmentor,2016,"iAugmentor is a Technology enabled Assessment & Learning Platform enabling personalized, adaptive and experiential learning.",Technology,Software & Computer Services,Edu-Tech,,B2C,Innovation in education,,,Gurgaon,Haryana,Angel investment,Peer teaching and teaching innovations,,,,,,,,,,,,,,,,,,42583,,Angel forums,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,VI,IgrenEnergi Semiconductor,2014,"IgrenEnergi is creating disruptive products to optimize energy generation, conversion, storage as well as smart grid interactions.",Utilities,Utilities,Clean Technology,,B2C,Optimizes energy generation,,,,,Angel investment,Energy generation,,,,,,,,,,,,,,,,,,42401,1,Angel investors,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,VI,iKure TechSoft,,"iKure Techsoft, a technology start-up, has been established to extend healthcare services to India's rural population.",Healthcare,Healthcare,Health-Tech,,B2C,Rural health development,Meidcal facilities,,Kolkata,West Bengal,Angel investment,"Clinics, Hospitals, and Health Care Providers ",,,,,,,,,,,,,,,,,,41699,,Angel forums,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,VI,ImageProVision,2010,"ImageproVision focus on processing and detailed analysis of images, along with the development of image processing applications.",Technology,Software & Computer Services,Software and Internet Services,,B2C,Image development software,,,Pune,Maharashtra,Angel investment,Big Data Analytics and Machine learning,,,,,,,,,,,,,,,,,,42552,1,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,VI,Imaginate,2011,Imaginate is an AR- and VR-based technology enterprise that offers innovative visualization products and services.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Virtual Reality platform,,,Hyderabad,Telegana,VC Funded,Software services for consumers,,,,,,,,,,,,,,,,,,42767,,Venture capital,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,VI,Imaginry,,"Imaginry is an an online entertainment portal for kids which produces cartoon videos, online games and other varied learning content.",Consumer_services,Media,"Media, Advertising and Gaming",,B2C,Online entertainment portals,,,New Delhi,Delhi,Angel investment,Media and entertainment,,,,,,,,,,,,,,,,,,42461,,Angel forums,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,VI,Imedilane,2016,It is a delhi based healthcare startup.,Healthcare,Healthcare,Health-Tech,,B2C,Health care Services,,,New Delhi,Delhi,Angel investment,"Clinics, Hospitals, and Health Care Providers ",,,,,,,,,,,,,,,,,,42461,1,Angel investors,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,VI,Inayo,2015,"A platform which lets you order Medicines, Patanjali, Ayurvedic products from the convenience of your home or office and get them delivered to your doorstep in 90 mins.",Healthcare,Healthcare,Health-Tech,,B2C,Online pharmacy,,,Mumbai,Maharashtra,VC Funded,Pharmacy & Medical Supplies,,,,,,,,,,,,,,,,,,42278,,Venture capital,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,VI,InCred Finance,2016,"The company is described as a technology led financial service that focuses on SME loans, consumer/personal loans, home loans and education loans.
",Financials,Financial services,Fin-Tech and Payments,,B2C,Provides loans,Financial services,"SME,home,consumer loans",Mumbai,Maharshtra,Angel investment, Alternative Funding Platforms,,,,,,,,,,,,,,,,,,42583,1,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,VI,Indi.com,2013,"Indi.com's shoppable video platform powers engagement commerce and customer-influencers, magnifying brands' social reach and conversion.",Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Online shopping,,,,,Angel investment,Booking,,,,,,,,,,,,,,,,,,42461,1,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,VI,IndiaLends,2015,IndiaLends is digital lending and borrowing marketplace that connects consumers and small businesses looking for low rate loans with institutional lenders looking for good returns.,Financials,Financial services,Fin-Tech and Payments,,B2B2C,Connects consumers for low rate loans,,,New Delhi,Delhi,Angel investment, Alternative Funding Platforms,,,,,,,,,,,,,,,,,,42186,1,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,VI,Indian Iris,2015,"The patform offers a one stop solution for finding daily government news, policies, public welfare schemes and many more.",Consumer_services,Media,"Media, Advertising and Gaming",,B2C,News,,,Ahmedabad,Gujarat,VC Funded,Media,,,,,,,,,,,,,,,,,,42522,,Venture capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,VI,IndianGiftsPortal,,"The company offers a highly curated collection of gifts for private occasions like birthday, anniversary, wedding etc.",Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Collection of gifts,Mobile app,,Mumbai,Maharashtra,Angel investment,Online Gifting,,,,,,,,,,,,,,,,,,42644,2,Angel investors,12.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,VI,Indofash,2016,"Indofash is a social selling platform to connect more than 7 million weavers, artisans and ground level artists to the global buyers.",Consumer_services,Retail,Consumer Products and Services,,B2C,Selling art works online,,,Bengaluru,Karnataka,Angel investment,Recreational Products,,,,,,,,,,,,,,,,,,42675,2,Angel investors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,VI,InFeedo,2013,"An enterprise employee engagement platform that helps leaders close employee ideas and roadblocks, across teams and cities.",Industrials,Industrial goods and services,Social Platforms,,B2B,Professional networking,,,Gurgaon,Haryana,Angel investment,Connect to Professionals,,,,,,,,,,,,,,,,,,42614,2,Angel investors,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,VI,Infinity Assurance,2013,Infinity Assurance Solutions provides service administration including manufacturer warranty and creating & managing warranty products.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Warranty services,,,New Delhi,Delhi,Angel investment,Customer service for business,,,,,,,,,,,,,,,,,,42186,,Angel forums,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,VI,Inkmonk,2013,Inkmonk is building India's largest printing marketplace. Inkmonk helps business providing a one stop shop for buying all types of printing customized products under one roof. ,Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Online marketplace,Printing,,Chennai,Tamil Nadu,Angel investment,Fashion,,,,,,,,,,,,,,,,,,42095,1,Angel investors,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,VI,Innov8,,"Innov8 providing a unique depth of healthcare expertise, experience and technology capabilities.",Healthcare,Healthcare,Health-Tech,,B2C,Health care Services,,,,,VC Funded,"Clinics, Hospitals, and Health Care Providers ",,,,,,,,,,,,,,,,,,42767,,Venture capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,VI,Innovapptive,,Innovapptive is a technology solution provider with solutions for Rapid Mobile App Development together with mobile workforce solutions.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Mobile app development,,,,,Angel investment,DevOps,,,,,,,,,,,,,,,,,,42705,,Angel forums,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,VI,InstaCar,2016,InstaCar is simplifying the process of booking rented outstation cars by providing a democratic marketplace.,Consumer_services,Travel and Leisure,Consumer Products and Services,,B2C,Car rental,,,Indore,Madhya Pradesh,Angel investment,Recreational Products,,,,,,,,,,,,,,,,,,42614,,Angel investors,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,VI,Instago ,2015,A meta travel aggregator app for road transportation.,Consumer_services,Travel and Leisure,Consumer Products and Services,,B2C,Travel planner,,,Gurgaon,Haryana,Angel investment,Travel & Tourism,,,,,,,,,,,,,,,,,,42552,,Angel investors,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,VI,InstaLively ,2014,InstaLively helps broadcast your event Live in just a single click.,Technology,Software & Computer Services,Software and Internet Services,,B2C,Software solutions,,,New Delhi,Delhi,Angel investment,Communication services,,,,,,,,,,,,,,,,,,42064,,Angel investors,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,VI,InstaOffice,,InstaOffice is a start-up that offers managed office space on a sharing basis.,Consumer_services,Real Estate,Real Estate,,B2B,Shared office,,,Gurgaon,HAryana,Angel investment,"Buy , Rent and Sell Property",,,,,,,,,,,,,,,,,,42736,,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,VI,InstaSafe,2012,InstaSafe is a cloud security-based startup focused on enabling businesses to adopt cloud computing technologies and applications.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Cloud based platform,,,,,Angel investment,Cloud Infrastructure,,,,,,,,,,,,,,,,,,42217,,Angel forums,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,VI,Integrated Neonatal Intensive Care Unit,," iNICU aims to make medical data related to newborn babies available to doctors in a structured format. Using IoT, big data and machine learning, it helps eliminate human errors in diagnosing premature infants with critical health conditions.",Healthcare,Healthcare,Health-Tech,,B2B,Premature infants care,,,New Delhi,Delhi,Angel investment,"Clinics, Hospitals, and Health Care Providers ",,,,,,,,,,,,,,,,,,42767,,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,VI,IntensAquatic,2015,IntensAquatica helps business owners and entrepreneurs to start/manage/grow their business.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Business management,,,Bengaluru,Karnataka,Angel investment,Buisness and Management consultancy,,,,,,,,,,,,,,,,,,42552,,Angel investors,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,VI,Inthree Access,2014,"Inthree Access specialise in providing the hinterland, access to products and services that enhance both quality of life and lifestyle.",Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Online shopping,,,Chennai,Tamil Nadu,Angel investment,"TV, Appliances Electronics",,,,,,,,,,,,,,,,,,41883,,Angel forums,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,VI,Inuxu Digital Media,2013,Inuxu’s ad tech platorm ‘adgebra’ is a unified high impact ad units marketplace offering muti tier targeting across device types. Adgebra has inbuilt audience segments and fraud protection which promises near 100% ad viewability with 2x brand engagement and recall.,Industrials,Industrial goods and services,"Media, Advertising and Gaming",,B2B,Advertising portal,,,Pune,Maharashtra,Angel investment,Advertising,,,,,,,,,,,,,,,,,,41699,,Venture capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,VI,InvenZone,2013,"InvenZone is a niche networking platform for researchers and scientists focusing on solving the core pain points of researchers like discovering the right data, complexity of the research papers, tracking the research updates and connecting with the right community or people. ",Technology,Software & Computer Services,Edu-Tech,,B2C,Platform for researchers,,,,,Angel investment,Social ventures in education,,,,,,,,,,,,,,,,,,41760,,Venture capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,VI,iOrderFresh,2014,iOrderFresh operates in the NCR region with a key proposition of offering local produce (sourced directly from farms) and artisan products to customers across Delhi NCR.,Consumer_goods,Food and beverage,Consumer Products and Services,,B2C,Selling art works online,,,New Delhi,Delhi,Angel investment,Recreational Products,,,,,,,,,,,,,,,,,,42795,,Angel forums,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,VI,iServe,2014,"They are leading Financial Products Distributor in India focused on serving Individuals, SMEs and corporate customers.They decode all the financial jargon and make things simple to understand for consumers.",Financials,Financial services,Fin-Tech and Payments,,B2C,Financial services,,,Pune,Maharshtra,Angel investment, Alternative Funding Platforms,,,,,,,,,,,,,,,,,,42552,,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,VI,IStyleYou,2015,Istyleyou is a data-driven personalization platform for apparel retailers that uses machine learning and human expertise to enable personal experiences for fashion retailers.,Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Fashion,,,,,Angel investment,Fashion,,,,,,,,,,,,,,,,,,42552,,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,VI,Jhakaas Technologies,," Jhakaas Technologies, which operates a platform that enables local businesses to create online & mobile presence.",Consumer_services,Retail,Industrial and Business Products and Services,,B2B,Creating online presence for business,Business development,,Mumbai,Maharashtra,Angel investment,Business Support Services,,,,,,,,,,,,,,,,,,42826,,Angel investors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,VI,Jigsaw Academy,2011,"Jigsaw Academy offers courses in big data and data analytics at the beginner, intermediate, and advanced levels, as well as specialized courses for specific sectors.",Technology,Software & Computer Services,Edu-Tech,,B2C,Online courses,,,Bengaluru,Karnataka,Angel investment,Online courses and resources,,,,,,,,,,,,,,,,,,42339,,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,VI,Jiyo Natural,2014,"Bangalore-based Jiyo Natural, a startup that offers personalised nutritionally balanced, calorie monitored and chemical free food.",Consumer_goods,Food and beverage,Consumer Products and Services,,B2C,Chemical free food,,,Bengaluru,Karnataka,Angel investment,Food Products,,,,,,,,,,,,,,,,,,42278,,Angel forums,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,VI,Jobspire,2014,Jobspire is a Visual and experiential job search platform that helps Indians aspire to find a job they'll truly love.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Employment opportuniy,,,Bengaluru,Karnataka,Angel investment,Business Training & Employment Agencies,,,,,,,,,,,,,,,,,,42217,,Angel investors,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,VI,Jolly Food Fellow,2015,Jolly Food Fellow is complete Food experience. An App that satiates your food discovery to delivery. The default enterprise application for food vendors.,Consumer_goods,Food and beverage,Hyperlocal and Logistics,,B2C,online food ordering,,,Ahmedabad,Gujarat,Angel investment,Food Services,,,,,,,,,,,,,,,,,,42430,,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,VI,Joolz,2015,"Joolz is a virtual jewellery store, that brings together the leading jewellery brands on a single and intuitive mobile application.",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Fashion ,,,Mumbai,Maharashtra,VC Funded,Fashion,,,,,,,,,,,,,,,,,,42583,,Venture Capital,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,VI,Juice Up,,Juice up aspires to create a brand that stands for things that matter – their own health and the health of their environment .,Healthcare,Healthcare,Health-Tech,,B2B,Health care Services,,,New Delhi,Delhi,Angel investment,"Clinics, Hospitals, and Health Care Providers ",,,,,,,,,,,,,,,,,,42705,,Angel investors,12.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,VI,Jumbo Basket,2015,JumboBasket is an online and offline commerce inventory liquidation platform that specializes in ecommerce returns and excess stock.,Financials,Financial services,Fin-Tech and Payments,,B2B,E-Commerce,,,Chandigarh,,Angel investment,Investment advisory and consultancy and financial consumer services,,,,,,,,,,,,,,,,,,42339,,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,VI,Juno Clinic,,Juno Clinic is an online platform that helps people get online counseling for emotional and psychological problems from our therapists.,Healthcare,Healthcare,Health-Tech,,B2C,Counseling for emotional and psychological problems,,,Mumbai,Maharashtra,Angel investment,Counselling,,,,,,,,,,,,,,,,,,42795,,Angel forums,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,VI,JustDoc,2015,The platform makes consulting a doctor easier.,Healthcare,Healthcare,Health-Tech,,B2C,Health care Services,,,Bengaluru,Karnataka,Angel investment,Telemedicine and Online health care platforms,,,,,,,,,,,,,,,,,,42370,,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,VI,JustLikeNew,2014,"It is a trusted smartphone service network, operating in Bangalore & Hyderabad.",Consumer_services,Retail,Consumer Products and Services,,B2C,Smartphone service centre,,,Hyderabad,Telegana,Angel investment,Food Products,,,,,,,,,,,,,,,,,,42217,,Angel forums,1,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,
1240,VI,Kalaage,2015,A social network for writers and publications to interact and connect.,Technology,Software & Computer Services,Social Platforms,,B2C,Connects writers and publishers,,,Gurgaon,Haryana,Angel investment,Connect to Professionals,,,,,,,,,,,,,,,,,,42644,,Angel forums,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,VI,Ketto ,2012,Ketto is an online network that allows users to support causes and connect with like-minded individuals and organizations.,Technology,Software & Computer Services,Social Platforms,,B2C,Connects like minded people,,,Mumbai,Maharashtra,Angel investment,Connect People for Social Activities,,,,,,,,,,,,,,,,,,42186,,Angel forums,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,VI,Khel Now,2014,"Khel Now connects sports fans and other stakeholders from around the world using relevant, timely, location-specific and crowd-sourced content and social networking.",Technology,Software & Computer Services,Social Platforms,,B2C,Connects sports interested people,,,Bengaluru,Karnataka,Angel investment,Connect People for Social Activities,,,,,,,,,,,,,,,,,,42614,,Angel forums,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,VI,Kickstart Jobs,2015,Kickstart Jobs provides a platform to connect entry level candidates with prospective employers and vice versa.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Employment opportuniy,,,Gurgaon,Haryana,Angel investment,Business Training & Employment Agencies,,,,,,,,,,,,,,,,,,42522,,Venture Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,VI,Kiji Foods,2015,Kiji Foods is a technology driven healthy food and beverages startup,Consumer_goods,Food and beverage,Consumer Products and Services,,B2C,Healthy foods,,,Bengaluru,Karnataka,Angel investment,Food Products,,,,,,,,,,,,,,,,,,42826,,Angel investors,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,VI,Klip,2011,Klip is a product discovery tool for interesting and off beat lifestyle products. It is for people who like things on and around them to reveal more of who they are.,Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Fashion,,,Mumbai,Maharashtra,VC Funded,Fashion,,,,,,,,,,,,,,,,,,42036,,Venture Capital,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,VI,Kloneworld,2012,"Kloneworld is a company creates personalized animations, toys and figurines featuring persons.",Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Personalised toys,,,Kolkata,West Bengal,Angel investment,Toys,,,,,,,,,,,,,,,,,,41640,,Angel forums,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,VI,Kobster,2012,"Kobster.com is a business to business online portal that sells office supplies to corporate across India ranging from stationery to cleaning supplies, electronics and even pantry supplies.",Industrials,Industrial goods and services,Consumer Products and Services,,B2B,Office supplies,,,,,VC Funded,Stationary supplies,,,,,,,,,,,,,,,,,,42036,,Venture Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,VI,Kochi Post,2013,"The Kochi Post is an independent media organisation based out of Kochi, Kerala dedicated to bringing unbiased, news, views and opinion.",Consumer_services,Media,"Media, Advertising and Gaming",,B2C,News,,,Kochi,Kerala,Angel investment,Media,,,,,,,,,,,,,,,,,,42736,,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,VI,KonciergeMD,,"KonciergeMD is a cloud-based consumer engagement company, focused on helping patients and their families work more closely with their care.",Healthcare,Healthcare,Health-Tech,,B2C,Health care Services,Cloud based,,,,VC Funded,"Clinics, Hospitals, and Health Care Providers ",,,,,,,,,,,,,,,,,,41640,,Venture Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,VI,Advantage Club,2014,Advantage Club's goal is to connect small and large scale companies with business owners and vendors, and create a mutually beneficial relationship among them. Advantageclub.in is the pioneering savings portal for employees of our partnering companies throughout India.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Connects companies and business vendors,,,Gurgaon,Haryana,Angel investment,Buisness and Management consultancy,,,,,,,,,,,,,,,,,,42401,,Angel forums,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,VI,Aisle,2014,"Aisle is an Indian matchmaking brand, which offers a differentiated experience to its niche audience – handpicked urban, independent Indians of today.",Consumer_services,Retail,Social Platforms,,B2C,Matchmaking,,,Bengaluru,Karnataka,Angel investment,Connect People for Dating and Matrimonial,,,,,,,,,,,,,,,,,,42767,,Angel forums,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,VI,App Virality,2014,"AppVirality is a Plug and Play Growth Hacking Toolkit For Mobile Apps that helps app developers in identifying and implementing the right growth techniques, no coding required. ",Consumer_goods,personal and household goods,Software and Internet Services,,B2B,Innovation,,,,,Angel investment,DevOps,,,,,,,,,,,,,,,,,,42005,3,Angel investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,VI,Arya.Ai,2013,"Arya.ai is a Deep Learning platform offering multiple tools to build, manage and scale complex Deep Learning applications.",Technology,Software & Computer Services,Edu-Tech,,B2C,Educational products and services,,,Mumbai,Maharashtra,VC Funded, Educational products and Services,,,,,,,,,,,,,,,,,,42005,,Venture Capital,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,VI,Ather Energy,2013,Ather Energy is a start-up focused on designing and selling premium electric two wheeler for the Indian market.,Consumer_goods,automobile and parts,Consumer Products and Services,,B2C,Electric two wheeler,,,Chennai,Tamil Nadu,Angel investment,Automobiles & Auto Parts services,,,,,,,,,,,,,,,,,,41944,9,Angel investors,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,VI,Azuro,2002,Azuro is an electronic design automation company supplying software tools to design digital semiconductor chips.,Technology,Technology Hardware & Equipment,Technology,,B2C,Designs Semi conductor chips,,,Mumbai,Maharashtra,Angel investment,Semiconductors,,,,,,,,,,,,,,,,,,42614,,Angel forums,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,VI,Bakers Circle India,,"Bakers Circle is an attractive, yet defensive, way to derive upon the country's F&B (food and beverages) opportunities. ",Consumer_goods,Food and beverage,Consumer Products and Services,,B2B,Country's food,,,Gurgaon,Haryana,Angel investment,Food Products,,,,,,,,,,,,,,,,,,41821,1,Angel investors,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,VI,Belita,2006,Belita is an innovative beauty service company devoted to delivering beauty & spa services at doorstep.,Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Fashion,,,Mumbai,Maharashtra,Angel investment,Fashion,,,,,,,,,,,,,,,,,,42217,,Angel forums,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,VI,Betaout ,2013,Betaout develops cloud-based platforms and tools that enable digital agencies to manage content production.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Cloud based platform for content production,,,Noida,Uttar Pradesh,Angel investment,Cloud Infrastructure,,,,,,,,,,,,,,,,,,42461,,Angel forums,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,VI,BetterButter,2015,BetterButter is a social discovery platform for recipes.,Consumer_goods,Food and beverage,Consumer Products and Services,,B2B,Online food recipe,Mobile app,,New Delhi,Delhi,VC Funded,Food Products,,,,,,,,,,,,,,,,,,42217,,Venture Capital,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
